location,residential_complex,district,rooms_count,total_meters,floor,floors_count,underground,price,price_for_m
Москва,Клубный город-парк ,Хамовники,1,83.3,2,12,Фрунзенская,172590000,2071908
Москва,Прайм Парк,Хорошевский,1,41.5,9,40,ЦСКА,32000000,771084
Москва,Не указано,Чертаново Южное,1,33.5,11,12,Улица Академика Янгеля,8000000,238805
Москва,Vesper Tverskaya,Тверской,1,57.6,8,9,Маяковская,117936000,2047499
Москва,Прайм Парк,Хорошевский,1,41.5,13,41,Аэропорт,31000000,746987
Москва,Не указано,Крюково,1,38.5,9,14,Зеленоград — Крюково,7000000,181818
Москва,Береговой-2,Филевский парк,1,45.0,2,16,Фили,23274675,517215
Москва,Lucky,Пресненский,1,59.0,3,20,Улица 1905 года,61800000,1047457
Москва,Не указано,Восточное Измайлово,1,29.5,6,6,Первомайская,6199999,210169
Москва,Хай Лайф ЖК,Даниловский,1,23.9,3,26,Павелецкая,22602971,945731
Москва,RedSide,Пресненский,1,43.6,4,13,Улица 1905 года,37500000,860091
Москва,Не указано,Марьино,1,34.5,2,2,Перерва,6400000,185507
Москва,Lucky,Пресненский,1,65.9,5,21,Улица 1905 года,82172522,1246927
Москва,ONYX Deluxe,Черемушки,1,44.0,14,32,Зюзино,32500000,738636
Москва,Не указано,Выхино-Жулебино,1,35.0,7,12,Юго-Восточная,8300000,237142
Москва,Лаврушинский ЖК,Якиманка,1,72.6,2,14,Полянка,139410000,1920247
Москва,Hide,Раменки,1,48.0,14,41,Кутузовская,31500000,656250
Москва,Эдельвейс,Фрунзенская,1,33.56,4,7,Рассказовка,5600000,166865
Москва,Башня Федерация,Пресненский,1,57.0,75,95,Деловой центр,47000000,824561
Москва,Не указано,Фрунзенская,1,30.0,2,5,Филатов Луг,7400000,246666
Москва,Симфония 34 ЖК,Савеловский,1,38.79,3,49,Дмитровская,18572846,478805
Москва,Kuznetsky Most 12 by Lalique,Мещанский,1,59.35,4,6,Кузнецкий мост,101785250,1714999
Москва,Татьянин Парк,Фрунзенская,1,54.0,3,15,Говорово,14800000,274074
Москва,Дом 56,Басманный,1,45.7,2,27,Бауманская,21798900,476999
Москва,Собрание клубных домов West Garden,Раменки,1,44.0,12,16,Минская,26296000,597636
Москва,Не указано,Коптево,1,31.9,5,9,Красный Балтиец,8700000,272727
Москва,LUCE,Арбат,1,78.45,3,7,Арбатская,196125000,2499999
Москва,FORST,Даниловский,1,43.09,7,20,Тульская,20252300,469999
Москва,Молжаниново ЖК,Молжаниновский,1,34.7,10,18,Новоподрезково,7990999,230288
Москва,Logos,Даниловский,1,58.8,7,13,Тульская,37642247,640174
Москва,Настоящее,Раменки,1,40.0,15,28,Раменки,30500000,762500
Москва,Не указано,Чертаново Северное,1,18.0,3,6,Южная,4650000,258333
Москва,Павелецкая Сити ЖК,Даниловский,1,30.1,16,46,Павелецкая,16749295,556454
Москва,Пресня Сити,Пресненский,1,48.1,2,44,Улица 1905 года,25000000,519750
Москва,Не указано,Беговой,1,33.5,5,12,Динамо,14500000,432835
Москва,Клубный дом Космо 4/22,Замоскворечье,1,50.2,4,6,Новокузнецкая,57228000,1139999
Москва,Городские резиденции SPIRES,Очаково-Матвеевское,1,46.0,4,26,Давыдково,34000000,739130
Москва,Не указано,Выхино-Жулебино,1,43.3,14,17,Выхино,11500000,265588
Москва,Клубный дом DUO,Якиманка,1,48.3,2,6,Новокузнецкая,95634000,1980000
Москва,Не указано,Кунцево,1,38.1,13,17,Рабочий посёлок,14300000,375328
Москва,Не указано,Чертаново Центральное,1,34.1,5,9,Пражская,10990000,322287
Москва,Шампайн ЖК,Южнопортовый,1,45.3,7,13,Дубровка,27171760,599818
Москва,Не указано,Раменки,1,38.7,2,12,Минская,14990000,387338
Москва,Не указано,Ярославский,1,35.4,10,16,Медведково,8000000,225988
Москва,Лайф Тайм ЖК,Пресненский,1,56.0,2,23,Улица 1905 года,59120000,1055714
Москва,Не указано,Тимирязевский,1,38.0,10,12,Дмитровская,16000000,421052
Москва,Не указано,Соколиная гора,1,25.7,5,5,Электрозаводская,7515745,292441
Москва,Опус ЖК,Даниловский,1,55.8,3,11,Павелецкая,52675646,944007
Москва,Не указано,Марьино,1,43.5,3,14,Марьино,12000000,275862
