author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Sminex,developer,https://www.cian.ru/sale/flat/306341785/,Москва,sale,flat,2,12,1,83.3,-1,0,172590000.0,Хамовники,Фрунзенская набережная,30,Фрунзенская,Клубный город-парк 
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299890518/,Москва,sale,flat,9,40,1,41.5,-1,0,32000000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/308789447/,Москва,sale,flat,11,12,1,33.5,-1,0,8000000.0,Чертаново Южное,3-й Дорожный проезд,6К1,Улица Академика Янгеля,
VESPER,developer,https://www.cian.ru/sale/flat/307211222/,Москва,sale,flat,8,9,1,57.6,-1,0,117936000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301550653/,Москва,sale,flat,13,41,1,41.5,-1,0,31000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/309028428/,Москва,sale,flat,9,14,1,38.5,-1,0,7000000.0,Крюково,Зеленоград,к1524,Зеленоград — Крюково,
Главстрой,developer,https://www.cian.ru/sale/flat/296921064/,Москва,sale,flat,2,16,1,45.0,-1,0,23274675.0,Филевский парк,Береговой проезд,2,Фили,Береговой-2
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303027445/,Москва,sale,flat,3,20,1,59.0,-1,0,61800000.0,Пресненский, Костикова,4к6,Улица 1905 года,Lucky
Денис Каргин,realtor,https://www.cian.ru/sale/flat/285374995/,Москва,sale,flat,6,6,1,29.5,-1,0,6199999.0,Восточное Измайлово,Первомайская ,126,Первомайская,
Пионер,developer,https://www.cian.ru/sale/flat/305778449/,Москва,sale,flat,3,26,1,23.9,-1,0,22602971.0,Даниловский,,,Павелецкая,Хай Лайф ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307950468/,Москва,sale,flat,4,13,1,43.6,-1,0,37500000.0,Пресненский, Сергея Макеева,9к1,Улица 1905 года,RedSide
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/308103967/,Москва,sale,flat,2,2,1,34.5,-1,0,6400000.0,Марьино, Перерва,8С1,Перерва,
VESPER,developer,https://www.cian.ru/sale/flat/306541560/,Москва,sale,flat,5,21,1,65.9,-1,0,82172522.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307970298/,Москва,sale,flat,14,32,1,44.0,-1,0,32500000.0,Черемушки,Херсонская ,43к5,Зюзино,ONYX Deluxe
ФЛИП,real_estate_agent,https://www.cian.ru/sale/flat/309080516/,Москва,sale,flat,7,12,1,35.0,-1,0,8300000.0,Выхино-Жулебино,Ферганская ,11к1с4,Юго-Восточная,
Sminex,developer,https://www.cian.ru/sale/flat/293713671/,Москва,sale,flat,2,14,1,72.6,-1,0,139410000.0,Якиманка,,,Полянка,Лаврушинский ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308207546/,Москва,sale,flat,14,41,1,48.0,-1,0,31500000.0,Раменки,1-й Сетуньский проезд,вл8,Кутузовская,Hide
Ордер,real_estate_agent,https://www.cian.ru/sale/flat/280751407/,Москва,sale,flat,4,7,1,33.56,-1,0,5600000.0,, Луговая,,Рассказовка,Эдельвейс
MR Group,developer,https://www.cian.ru/sale/flat/306611541/,Москва,sale,flat,2,59,1,30.4,-1,0,,Можайский,,,Давыдково,Веер ЖК
SUNRISE Estate,real_estate_agent,https://www.cian.ru/sale/flat/307810501/,Москва,sale,flat,75,95,1,57.0,-1,0,47000000.0,Пресненский,набережная Пресненская,12,Деловой центр,Башня Федерация
ID 13544436,realtor,https://www.cian.ru/sale/flat/308257166/,Москва,sale,flat,2,5,1,30.0,-1,0,7400000.0,, Жемчужная,1к14,Филатов Луг,
MR Group,developer,https://www.cian.ru/sale/flat/300288186/,Москва,sale,flat,3,49,1,38.79,-1,0,18572846.0,Савеловский,,,Дмитровская,Симфония 34 ЖК
ID 112609323,realtor,https://www.cian.ru/sale/flat/307205775/,Москва,sale,flat,4,6,1,59.35,-1,0,101785250.0,Мещанский, Кузнецкий Мост,12/3С1,Кузнецкий мост,Kuznetsky Most 12 by Lalique
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/306297489/,Москва,sale,flat,3,15,1,54.0,-1,0,14800000.0,, Татьянин Парк,14к2,Говорово,Татьянин Парк
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/306243017/,Москва,sale,flat,2,27,1,45.7,-1,0,21798900.0,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56
Павел Михайлов,realtor,https://www.cian.ru/sale/flat/308082096/,Москва,sale,flat,12,16,1,44.0,-1,0,26296000.0,Раменки,проспект Генерала Дорохова,39к2Л,Минская,Собрание клубных домов West Garden
Любовь Перова,realtor,https://www.cian.ru/sale/flat/308832675/,Москва,sale,flat,5,9,1,31.9,-1,0,8700000.0,Коптево, Приорова,4,Красный Балтиец,
MR Group,developer,https://www.cian.ru/sale/flat/308088559/,Москва,sale,flat,3,7,1,78.45,-1,0,196125000.0,Арбат,Крестовоздвиженский переулок,4,Арбатская,LUCE
hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679592/,Москва,sale,flat,7,20,1,43.09,-1,0,20252300.0,Даниловский,Автозаводская ,26,Тульская,FORST
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306106934/,Москва,sale,flat,10,18,1,34.7,-1,0,7990999.0,Молжаниновский,Северный ао,к2,Новоподрезково,Молжаниново ЖК
Sense Development,developer,https://www.cian.ru/sale/flat/298147602/,Москва,sale,flat,7,13,1,58.8,-1,0,37642247.0,Даниловский, Даниловский Вал,1А,Тульская,Logos
Владислав Карпов,realtor,https://www.cian.ru/sale/flat/308833375/,Москва,sale,flat,15,28,1,40.0,-1,0,30500000.0,Раменки,Винницкая ,8к3,Раменки,Настоящее
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/288041113/,Москва,sale,flat,3,6,1,18.0,-1,0,4650000.0,Чертаново Северное,Варшавское шоссе,125С1,Южная,
MR Group,developer,https://www.cian.ru/sale/flat/309097272/,Москва,sale,flat,16,46,1,30.1,-1,0,16749295.0,Даниловский,,,Павелецкая,Павелецкая Сити ЖК
Marry Lane Group,real_estate_agent,https://www.cian.ru/sale/flat/307494611/,Москва,sale,flat,2,44,1,48.1,-1,0,25000000.0,Пресненский,Ходынская ,2,Улица 1905 года,Пресня Сити
Мария Рыськина,realtor,https://www.cian.ru/sale/flat/308543607/,Москва,sale,flat,5,12,1,33.5,-1,0,14500000.0,Беговой,Ленинградский проспект,33А,Динамо,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/308081007/,Москва,sale,flat,4,6,1,50.2,-1,0,57228000.0,Замоскворечье,Космодамианская набережная,4/22С9,Новокузнецкая,Клубный дом Космо 4/22
Unique,real_estate_agent,https://www.cian.ru/sale/flat/287678758/,Москва,sale,flat,4,26,1,46.0,-1,0,34000000.0,Очаково-Матвеевское,Нежинская ,5к2,Давыдково,Городские резиденции SPIRES
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/309146213/,Москва,sale,flat,14,17,1,43.3,-1,0,11500000.0,Выхино-Жулебино, Хлобыстова,18К1,Выхино,
Hutton Development,developer,https://www.cian.ru/sale/flat/304286459/,Москва,sale,flat,2,6,1,48.3,-1,0,95634000.0,Якиманка,Софийская набережная,34С3,Новокузнецкая,Клубный дом DUO
Светлана Ларина,realtor,https://www.cian.ru/sale/flat/308827945/,Москва,sale,flat,13,17,1,38.1,-1,0,14300000.0,Кунцево,Кунцевская ,4К1,Рабочий посёлок,
СМАРЕНТ,real_estate_agent,https://www.cian.ru/sale/flat/309128668/,Москва,sale,flat,5,9,1,34.1,-1,0,10990000.0,Чертаново Центральное,Чертановская ,29К2,Пражская,
TOUCH,developer,https://www.cian.ru/sale/flat/302838421/,Москва,sale,flat,7,13,1,45.3,-1,0,27171760.0,Южнопортовый,,к2,Дубровка,Шампайн ЖК
Оксана Гимишян,realtor,https://www.cian.ru/sale/flat/307280914/,Москва,sale,flat,2,12,1,38.7,-1,0,14990000.0,Раменки, Улофа Пальме,3,Минская,
Монолит,real_estate_agent,https://www.cian.ru/sale/flat/308954691/,Москва,sale,flat,10,16,1,35.4,-1,0,8000000.0,Ярославский, Ротерта,10К4,Медведково,
Sminex,developer,https://www.cian.ru/sale/flat/306155439/,Москва,sale,flat,2,23,1,56.0,-1,0,59120000.0,Пресненский,,,Улица 1905 года,Лайф Тайм ЖК
ИП Боброва Е. И.,real_estate_agent,https://www.cian.ru/sale/flat/309290065/,Москва,sale,flat,10,12,1,38.0,-1,0,16000000.0,Тимирязевский,Астрадамская ,5,Дмитровская,
Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/305267257/,Москва,sale,flat,5,5,1,25.7,-1,0,7515745.0,Соколиная гора,Медовый переулок,12,Электрозаводская,
Пионер,developer,https://www.cian.ru/sale/flat/308640077/,Москва,sale,flat,3,11,1,55.8,-1,0,52675646.0,Даниловский,,,Павелецкая,Опус ЖК
Авеню-Мск,real_estate_agent,https://www.cian.ru/sale/flat/307655528/,Москва,sale,flat,3,14,1,43.5,-1,0,12000000.0,Марьино, Перерва,26К2,Марьино,
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/300522888/,Москва,sale,flat,4,5,1,14.4,-1,0,3450000.0,Перово, 2-я Энтузиастов,5,Авиамоторная,
Hutton Development,developer,https://www.cian.ru/sale/flat/305627360/,Москва,sale,flat,8,17,1,50.8,-1,0,36423600.0,Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/307986637/,Москва,sale,flat,11,14,1,35.0,-1,0,13900000.0,Раменки,1-й Сетуньский проезд,10,Кутузовская,
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/309057769/,Москва,sale,flat,3,15,1,33.0,-1,0,9350000.0,,бульвар Скандинавский,1к1,Потапово,
Capital Group,developer,https://www.cian.ru/sale/flat/307771836/,Москва,sale,flat,12,18,1,53.4,-1,0,62039716.0,Дорогомилово,,,Москва-Сити,Бадаевский ЖК
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/309283628/,Москва,sale,flat,9,12,1,36.0,-1,0,10500000.0,Выхино-Жулебино,Ташкентская ,22К3,Юго-Восточная,
ID 123702083,realtor,https://www.cian.ru/sale/flat/309066258/,Москва,sale,flat,14,14,1,40.0,-1,0,7380000.0,Южное Бутово, Брусилова,7,Щербинка,
СТ Тауэрс,developer,https://www.cian.ru/sale/flat/304453140/,Москва,sale,flat,49,66,1,44.6,-1,0,44154000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301042658/,Москва,sale,flat,24,79,1,72.0,-1,0,70000000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
SITRealty,real_estate_agent,https://www.cian.ru/sale/flat/309170791/,Москва,sale,flat,5,7,1,47.5,-1,0,10100000.0,, Медовая Долина,1к2,Санино,Баркли Медовая долина
MR Group,developer,https://www.cian.ru/sale/flat/306603353/,Москва,sale,flat,3,36,1,36.7,-1,0,30916850.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
hoomie,real_estate_agent,https://www.cian.ru/sale/flat/308421883/,Москва,sale,flat,9,20,1,39.74,-1,0,16802072.0,Даниловский,Автозаводская ,26,Тульская,FORST
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/306540444/,Москва,sale,flat,14,14,1,42.5,-1,0,7599999.0,Южное Бутово, Маршала Савицкого,32к1,Щербинка,
COLDY,developer,https://www.cian.ru/sale/flat/307965932/,Москва,sale,flat,2,15,1,30.8,-1,0,26977720.0,Даниловский, Серпуховский Вал,7с16,Тульская,Дом 7 Даниловский
