location,residential_complex,district,rooms_count,total_meters,floor,floors_count,underground,price,price_for_m
Москва,Не указано,Чертаново Южное,1,33.5,11,12,Улица Академика Янгеля,8000000,238805
Москва,Не указано,Крюково,1,38.5,9,14,Зеленоград — Крюково,7000000,181818
Москва,Не указано,Восточное Измайлово,1,29.5,6,6,Первомайская,6199999,210169
Москва,Не указано,Марьино,1,34.5,2,2,Перерва,6400000,185507
Москва,Не указано,Выхино-Жулебино,1,35.0,7,12,Юго-Восточная,8300000,237142
Москва,Эдельвейс,Фрунзенская,1,33.56,4,7,Рассказовка,5600000,166865
Москва,Не указано,Фрунзенская,1,30.0,2,5,Филатов Луг,7400000,246666
Москва,Татьянин Парк,Фрунзенская,1,54.0,3,15,Говорово,14800000,274074
Москва,Не указано,Коптево,1,31.9,5,9,Красный Балтиец,8700000,272727
Москва,Молжаниново ЖК,Молжаниновский,1,34.7,10,18,Новоподрезково,7990999,230288
Москва,Не указано,Чертаново Северное,1,18.0,3,6,Южная,4650000,258333
Москва,Не указано,Выхино-Жулебино,1,43.3,14,17,Выхино,11500000,265588
Москва,Не указано,Чертаново Центральное,1,34.1,5,9,Пражская,10990000,322287
Москва,Не указано,Ярославский,1,35.4,10,16,Медведково,8000000,225988
Москва,Не указано,Соколиная гора,1,25.7,5,5,Электрозаводская,7515745,292441
Москва,Не указано,Марьино,1,43.5,3,14,Марьино,12000000,275862
Москва,Не указано,Перово,1,14.4,4,5,Авиамоторная,3450000,239583
Москва,Не указано,Фрунзенская,1,33.0,3,15,Потапово,9350000,283333
Москва,Не указано,Выхино-Жулебино,1,36.0,9,12,Юго-Восточная,10500000,291666
Москва,Не указано,Южное Бутово,1,40.0,14,14,Щербинка,7380000,184500
Москва,Баркли Медовая долина,Фрунзенская,1,47.5,5,7,Санино,10100000,212631
Москва,Не указано,Южное Бутово,1,42.5,14,14,Щербинка,7599999,178823
Москва,Не указано,Северное Измайлово,1,34.8,11,12,Щёлковская,9350000,268678
Москва,Не указано,Таганский,1,38.9,1,12,Пролетарская,12690000,326221
Москва,Не указано,Отрадное,1,19.0,9,16,Владыкино,6000000,315789
Москва,Не указано,Фрунзенская,1,30.0,4,6,Филатов Луг,7490000,249666
Москва,МФК CITIMIX Новокосино,Косино-Ухтомский,1,37.04,6,9,Реутов,10800000,291576
Москва,Не указано,Ясенево,1,33.0,3,9,Ясенево,9100000,275757
Москва,Не указано,Фрунзенская,1,40.6,15,15,Прокшино,11890000,292857
Москва,Не указано,Гольяново,1,37.7,1,9,Черкизовская,7700000,204244
Москва,Не указано,Северное Измайлово,1,32.0,9,9,Локомотив,10990000,343437
Москва,Солнцево парк,Фрунзенская,1,38.0,6,17,Пыхтино,9350000,246052
Москва,Не указано,Фрунзенская,1,40.0,2,5,Филатов Луг,9555000,238875
Москва,Не указано,Марфино,1,16.4,4,4,Фонвизинская,5030000,306707
Москва,Не указано,Фрунзенская,1,37.8,12,17,Рассказовка,9000000,238095
Москва,Не указано,Раменки,1,43.1,4,8,Ломоносовский проспект,15000000,348027
Москва,Не указано,Крюково,1,39.4,6,14,Зеленоград — Крюково,8750000,222081
Москва,Не указано,Кунцево,1,36.3,6,17,Кунцевская,12500000,344352
Москва,Не указано,Выхино-Жулебино,1,32.7,5,9,Юго-Восточная,7700000,235474
Москва,Не указано,Люблино,1,36.9,9,9,Братиславская,8850000,239837
Москва,Не указано,Северное Медведково,1,37.9,11,17,Медведково,10000000,263852
Москва,Москвичка,Фрунзенская,1,37.1,11,15,Новомосковская,9500000,256064
Москва,Не указано,Фрунзенская,1,45.0,7,16,Апрелевка,7200000,160000
Москва,Не указано,Фрунзенская,1,41.0,10,17,Бачуринская,9700000,236585
Москва,Не указано,Чертаново Центральное,1,32.2,2,9,Южная,8100000,251552
Москва,Не указано,Братеево,1,39.0,21,22,Алма-Атинская,11300000,289743
Москва,Не указано,Гольяново,1,39.0,12,12,Щёлковская,9600000,246153
Москва,Не указано,Можайский,1,41.5,10,14,Сетунь,10300000,248192
Москва,Не указано,Южное Бутово,1,42.3,3,14,Щербинка,7800000,184397
Москва,Измайловский Парк,Соколиная гора,1,24.7,11,24,Измайлово,8600000,348178
Москва,Молжаниново,Молжаниновский,1,36.5,15,16,Новоподрезково,8990000,246301
Москва,Южные Сады ЖК,Южное Бутово,1,28.4,5,30,Бунинская аллея,8600000,302816
Москва,Не указано,Ховрино,1,40.7,14,18,Грачёвская,10699999,262899
Москва,Зеленая Вертикаль,Чертаново Южное,1,40.0,12,19,Лесопарковая,6900000,172500
Москва,Апартаменты Алтай,Марфино,1,35.0,1,5,Окружная,9100000,260000
Москва,Не указано,Северное Тушино,1,35.0,3,14,Планерная,10500000,300000
Москва,Не указано,Москворечье-Сабурово,1,37.9,14,17,Москворечье,8700000,229551
Москва,Не указано,Чертаново Центральное,1,42.0,6,18,Пражская,13000000,309523
Москва,Не указано,Фрунзенская,1,28.1,5,5,Щербинка,6300000,224199
Москва,PerovSky,Перово,1,55.0,2,23,Новогиреево,15500000,281818
